Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Granite Fracture,1306.2,subsurface,27.3,0.28,7.15,0.16,,0,1.73,50.05
DELOS Granite Fracture,1306.2,subsurface,29.61,0.24,7.03,0.1,15,0,1.72,55.89
DELOS Granite Fracture,1306.2,subsurface,29.5,0.23,7.12,0.11,10,0,1.7,54.82
DELOS Granite Fracture,1306.2,subsurface,27.58,0.26,8,0.12,20,0,1.79,58.23
DELOS Granite Fracture,1306.3,subsurface,34.59,1.1,9.74,0.06,,0,4.5,68.41
DELOS Granite Fracture,1306.3,subsurface,35.78,0.22,10.34,0.32,,0,2.41,73.86
DELOS Granite Fracture,1306.3,subsurface,34.28,0.2,9.74,0.39,,0,2.84,73.64
DELOS Granite Fracture,1306.3,subsurface,33.62,0.25,9.62,0.14,,0,2.34,71.11
DELOS Granite Fracture,1306.3,subsurface,36.93,0.24,10.01,0.12,10,0,2.57,76.9
DELOS Granite Fracture,1306.3,subsurface,35.71,0.24,9.88,0.12,10,0,2.34,73.52
DELOS Granite Fracture,1306.3,subsurface,36.1,0.66,10.26,0.15,20,0,2.45,74.81
DELOS Granite Fracture,1494,subsurface,103.93,1.09,31.21,0.17,,0,9.35,289.48
DELOS Granite Fracture,1494,subsurface,107.89,0.19,32.08,0.23,,0,9.02,279.14
DELOS Granite Fracture,1494,subsurface,109.47,0.27,31.86,0.23,,0,8.91,270.18
DELOS Granite Fracture,1494,subsurface,117.66,0.23,31.86,0.26,10,0,9.06,297.58
DELOS Granite Fracture,1494,subsurface,108.71,0.23,31.39,0.22,10,0,8.64,274.2
DELOS Granite Fracture,1494,subsurface,91.84,0.26,31.73,0.23,5,0,9.1,262.71
DELOS Granite Fracture,1798,subsurface,18.7,0,11.71,0.18,10,0,1.67,33.33
DELOS Granite Fracture,1798,subsurface,16.88,0,11.75,0.14,7.5,0,1.64,32.08
DELOS Granite Fracture,1973,subsurface,138.55,0,33.06,0.41,5,0,8.45,335.22
DELOS Granite Fracture,1973,subsurface,115.69,0.25,33.2,0.39,5,0,8.87,327.05
DELOS Granite Fracture,1993,subsurface,130.34,1.09,34.43,0.36,,0,10.02,365.2
DELOS Granite Fracture,1993,subsurface,146.05,0.21,34.81,0.45,,0,9.75,358.12
DELOS Granite Fracture,1993,subsurface,157.75,0.2,34.73,0.57,,0,9.94,362.3
DELOS Granite Fracture,1993,subsurface,142.36,0.25,34.75,0.41,6.84,0,9.78,359.04
DELOS Granite Fracture,1993,subsurface,142.62,0.25,34.92,0.41,,0,10.3,360.51
DELOS Granite Fracture,1993,subsurface,160.28,0.26,38.82,0.57,,0,10.67,381.82
DELOS Granite Fracture,1993,subsurface,152.13,0.29,34.56,0.42,10,0,9.93,380.89
DELOS Granite Fracture,1993,subsurface,144.69,0.22,36.17,0.44,7.5,0,9.42,360.51
DELOS Granite Fracture,1993,subsurface,145.03,0.22,34.55,0.42,5,0,9.35,350.31
DELOS Granite Fracture,1993,subsurface,120.44,0.25,35.16,0.5,5,0,9.95,348.91
DELOS Granite Fracture,2647,subsurface,35.69,1.09,24.25,0.22,,0,5.66,92.74
